state,county,stname,ctyname,fips
01,001,Alabama,Autauga County,01001
01,003,Alabama,Baldwin County,01003
01,005,Alabama,Barbour County,01005
01,007,Alabama,Bibb County,01007
01,009,Alabama,Blount County,01009
01,011,Alabama,Bullock County,01011
01,013,Alabama,Butler County,01013
01,015,Alabama,Calhoun County,01015
01,017,Alabama,Chambers County,01017
01,019,Alabama,Cherokee County,01019
01,021,Alabama,Chilton County,01021
01,023,Alabama,Choctaw County,01023
01,025,Alabama,Clarke County,01025
01,027,Alabama,Clay County,01027
01,029,Alabama,Cleburne County,01029
01,031,Alabama,Coffee County,01031
01,033,Alabama,Colbert County,01033
01,035,Alabama,Conecuh County,01035
01,037,Alabama,Coosa County,01037
01,039,Alabama,Covington County,01039
01,041,Alabama,Crenshaw County,01041
01,043,Alabama,Cullman County,01043
01,045,Alabama,Dale County,01045
01,047,Alabama,Dallas County,01047
01,049,Alabama,DeKalb County,01049
01,051,Alabama,Elmore County,01051
01,053,Alabama,Escambia County,01053
01,055,Alabama,Etowah County,01055
01,057,Alabama,Fayette County,01057
01,059,Alabama,Franklin County,01059
01,061,Alabama,Geneva County,01061
01,063,Alabama,Greene County,01063
01,065,Alabama,Hale County,01065
01,067,Alabama,Henry County,01067
01,069,Alabama,Houston County,01069
01,071,Alabama,Jackson County,01071
01,073,Alabama,Jefferson County,01073
01,075,Alabama,Lamar County,01075
01,077,Alabama,Lauderdale County,01077
01,079,Alabama,Lawrence County,01079
01,081,Alabama,Lee County,01081
01,083,Alabama,Limestone County,01083
01,085,Alabama,Lowndes County,01085
01,087,Alabama,Macon County,01087
01,089,Alabama,Madison County,01089
01,091,Alabama,Marengo County,01091
01,093,Alabama,Marion County,01093
01,095,Alabama,Marshall County,01095
01,097,Alabama,Mobile County,01097
01,099,Alabama,Monroe County,01099
01,101,Alabama,Montgomery County,01101
01,103,Alabama,Morgan County,01103
01,105,Alabama,Perry County,01105
01,107,Alabama,Pickens County,01107
01,109,Alabama,Pike County,01109
01,111,Alabama,Randolph County,01111
01,113,Alabama,Russell County,01113
01,115,Alabama,St. Clair County,01115
01,117,Alabama,Shelby County,01117
01,119,Alabama,Sumter County,01119
01,121,Alabama,Talladega County,01121
01,123,Alabama,Tallapoosa County,01123
01,125,Alabama,Tuscaloosa County,01125
01,127,Alabama,Walker County,01127
01,129,Alabama,Washington County,01129
01,131,Alabama,Wilcox County,01131
01,133,Alabama,Winston County,01133
02,000,Alaska,Alaska,02000
04,001,Arizona,Apache County,04001
04,003,Arizona,Cochise County,04003
04,005,Arizona,Coconino County,04005
04,007,Arizona,Gila County,04007
04,009,Arizona,Graham County,04009
04,011,Arizona,Greenlee County,04011
04,012,Arizona,La Paz County,04012
04,013,Arizona,Maricopa County,04013
04,015,Arizona,Mohave County,04015
04,017,Arizona,Navajo County,04017
04,019,Arizona,Pima County,04019
04,021,Arizona,Pinal County,04021
04,023,Arizona,Santa Cruz County,04023
04,025,Arizona,Yavapai County,04025
04,027,Arizona,Yuma County,04027
05,001,Arkansas,Arkansas County,05001
05,003,Arkansas,Ashley County,05003
05,005,Arkansas,Baxter County,05005
05,007,Arkansas,Benton County,05007
05,009,Arkansas,Boone County,05009
05,011,Arkansas,Bradley County,05011
05,013,Arkansas,Calhoun County,05013
05,015,Arkansas,Carroll County,05015
05,017,Arkansas,Chicot County,05017
05,019,Arkansas,Clark County,05019
05,021,Arkansas,Clay County,05021
05,023,Arkansas,Cleburne County,05023
05,025,Arkansas,Cleveland County,05025
05,027,Arkansas,Columbia County,05027
05,029,Arkansas,Conway County,05029
05,031,Arkansas,Craighead County,05031
05,033,Arkansas,Crawford County,05033
05,035,Arkansas,Crittenden County,05035
05,037,Arkansas,Cross County,05037
05,039,Arkansas,Dallas County,05039
05,041,Arkansas,Desha County,05041
05,043,Arkansas,Drew County,05043
05,045,Arkansas,Faulkner County,05045
05,047,Arkansas,Franklin County,05047
05,049,Arkansas,Fulton County,05049
05,051,Arkansas,Garland County,05051
05,053,Arkansas,Grant County,05053
05,055,Arkansas,Greene County,05055
05,057,Arkansas,Hempstead County,05057
05,059,Arkansas,Hot Spring County,05059
05,061,Arkansas,Howard County,05061
05,063,Arkansas,Independence County,05063
05,065,Arkansas,Izard County,05065
05,067,Arkansas,Jackson County,05067
05,069,Arkansas,Jefferson County,05069
05,071,Arkansas,Johnson County,05071
05,073,Arkansas,Lafayette County,05073
05,075,Arkansas,Lawrence County,05075
05,077,Arkansas,Lee County,05077
05,079,Arkansas,Lincoln County,05079
05,081,Arkansas,Little River County,05081
05,083,Arkansas,Logan County,05083
05,085,Arkansas,Lonoke County,05085
05,087,Arkansas,Madison County,05087
05,089,Arkansas,Marion County,05089
05,091,Arkansas,Miller County,05091
05,093,Arkansas,Mississippi County,05093
05,095,Arkansas,Monroe County,05095
05,097,Arkansas,Montgomery County,05097
05,099,Arkansas,Nevada County,05099
05,101,Arkansas,Newton County,05101
05,103,Arkansas,Ouachita County,05103
05,105,Arkansas,Perry County,05105
05,107,Arkansas,Phillips County,05107
05,109,Arkansas,Pike County,05109
05,111,Arkansas,Poinsett County,05111
05,113,Arkansas,Polk County,05113
05,115,Arkansas,Pope County,05115
05,117,Arkansas,Prairie County,05117
05,119,Arkansas,Pulaski County,05119
05,121,Arkansas,Randolph County,05121
05,123,Arkansas,St. Francis County,05123
05,125,Arkansas,Saline County,05125
05,127,Arkansas,Scott County,05127
05,129,Arkansas,Searcy County,05129
05,131,Arkansas,Sebastian County,05131
05,133,Arkansas,Sevier County,05133
05,135,Arkansas,Sharp County,05135
05,137,Arkansas,Stone County,05137
05,139,Arkansas,Union County,05139
05,141,Arkansas,Van Buren County,05141
05,143,Arkansas,Washington County,05143
05,145,Arkansas,White County,05145
05,147,Arkansas,Woodruff County,05147
05,149,Arkansas,Yell County,05149
06,001,California,Alameda County,06001
06,003,California,Alpine County,06003
06,005,California,Amador County,06005
06,007,California,Butte County,06007
06,009,California,Calaveras County,06009
06,011,California,Colusa County,06011
06,013,California,Contra Costa County,06013
06,015,California,Del Norte County,06015
06,017,California,El Dorado County,06017
06,019,California,Fresno County,06019
06,021,California,Glenn County,06021
06,023,California,Humboldt County,06023
06,025,California,Imperial County,06025
06,027,California,Inyo County,06027
06,029,California,Kern County,06029
06,031,California,Kings County,06031
06,033,California,Lake County,06033
06,035,California,Lassen County,06035
06,037,California,Los Angeles County,06037
06,039,California,Madera County,06039
06,041,California,Marin County,06041
06,043,California,Mariposa County,06043
06,045,California,Mendocino County,06045
06,047,California,Merced County,06047
06,049,California,Modoc County,06049
06,051,California,Mono County,06051
06,053,California,Monterey County,06053
06,055,California,Napa County,06055
06,057,California,Nevada County,06057
06,059,California,Orange County,06059
06,061,California,Placer County,06061
06,063,California,Plumas County,06063
06,065,California,Riverside County,06065
06,067,California,Sacramento County,06067
06,069,California,San Benito County,06069
06,071,California,San Bernardino County,06071
06,073,California,San Diego County,06073
06,075,California,San Francisco County,06075
06,077,California,San Joaquin County,06077
06,079,California,San Luis Obispo County,06079
06,081,California,San Mateo County,06081
06,083,California,Santa Barbara County,06083
06,085,California,Santa Clara County,06085
06,087,California,Santa Cruz County,06087
06,089,California,Shasta County,06089
06,091,California,Sierra County,06091
06,093,California,Siskiyou County,06093
06,095,California,Solano County,06095
06,097,California,Sonoma County,06097
06,099,California,Stanislaus County,06099
06,101,California,Sutter County,06101
06,103,California,Tehama County,06103
06,105,California,Trinity County,06105
06,107,California,Tulare County,06107
06,109,California,Tuolumne County,06109
06,111,California,Ventura County,06111
06,113,California,Yolo County,06113
06,115,California,Yuba County,06115
08,001,Colorado,Adams County,08001
08,003,Colorado,Alamosa County,08003
08,005,Colorado,Arapahoe County,08005
08,007,Colorado,Archuleta County,08007
08,009,Colorado,Baca County,08009
08,011,Colorado,Bent County,08011
08,013,Colorado,Boulder County,08013
08,014,Colorado,Broomfield County,08014
08,015,Colorado,Chaffee County,08015
08,017,Colorado,Cheyenne County,08017
08,019,Colorado,Clear Creek County,08019
08,021,Colorado,Conejos County,08021
08,023,Colorado,Costilla County,08023
08,025,Colorado,Crowley County,08025
08,027,Colorado,Custer County,08027
08,029,Colorado,Delta County,08029
08,031,Colorado,Denver County,08031
08,033,Colorado,Dolores County,08033
08,035,Colorado,Douglas County,08035
08,037,Colorado,Eagle County,08037
08,039,Colorado,Elbert County,08039
08,041,Colorado,El Paso County,08041
08,043,Colorado,Fremont County,08043
08,045,Colorado,Garfield County,08045
08,047,Colorado,Gilpin County,08047
08,049,Colorado,Grand County,08049
08,051,Colorado,Gunnison County,08051
08,053,Colorado,Hinsdale County,08053
08,055,Colorado,Huerfano County,08055
08,057,Colorado,Jackson County,08057
08,059,Colorado,Jefferson County,08059
08,061,Colorado,Kiowa County,08061
08,063,Colorado,Kit Carson County,08063
08,065,Colorado,Lake County,08065
08,067,Colorado,La Plata County,08067
08,069,Colorado,Larimer County,08069
08,071,Colorado,Las Animas County,08071
08,073,Colorado,Lincoln County,08073
08,075,Colorado,Logan County,08075
08,077,Colorado,Mesa County,08077
08,079,Colorado,Mineral County,08079
08,081,Colorado,Moffat County,08081
08,083,Colorado,Montezuma County,08083
08,085,Colorado,Montrose County,08085
08,087,Colorado,Morgan County,08087
08,089,Colorado,Otero County,08089
08,091,Colorado,Ouray County,08091
08,093,Colorado,Park County,08093
08,095,Colorado,Phillips County,08095
08,097,Colorado,Pitkin County,08097
08,099,Colorado,Prowers County,08099
08,101,Colorado,Pueblo County,08101
08,103,Colorado,Rio Blanco County,08103
08,105,Colorado,Rio Grande County,08105
08,107,Colorado,Routt County,08107
08,109,Colorado,Saguache County,08109
08,111,Colorado,San Juan County,08111
08,113,Colorado,San Miguel County,08113
08,115,Colorado,Sedgwick County,08115
08,117,Colorado,Summit County,08117
08,119,Colorado,Teller County,08119
08,121,Colorado,Washington County,08121
08,123,Colorado,Weld County,08123
08,125,Colorado,Yuma County,08125
09,001,Connecticut,Fairfield County,09001
09,003,Connecticut,Hartford County,09003
09,005,Connecticut,Litchfield County,09005
09,007,Connecticut,Middlesex County,09007
09,009,Connecticut,New Haven County,09009
09,011,Connecticut,New London County,09011
09,013,Connecticut,Tolland County,09013
09,015,Connecticut,Windham County,09015
10,001,Delaware,Kent County,10001
10,003,Delaware,New Castle County,10003
10,005,Delaware,Sussex County,10005
11,001,District of Columbia,District of Columbia,11001
12,001,Florida,Alachua County,12001
12,003,Florida,Baker County,12003
12,005,Florida,Bay County,12005
12,007,Florida,Bradford County,12007
12,009,Florida,Brevard County,12009
12,011,Florida,Broward County,12011
12,013,Florida,Calhoun County,12013
12,015,Florida,Charlotte County,12015
12,017,Florida,Citrus County,12017
12,019,Florida,Clay County,12019
12,021,Florida,Collier County,12021
12,023,Florida,Columbia County,12023
12,027,Florida,DeSoto County,12027
12,029,Florida,Dixie County,12029
12,031,Florida,Duval County,12031
12,033,Florida,Escambia County,12033
12,035,Florida,Flagler County,12035
12,037,Florida,Franklin County,12037
12,039,Florida,Gadsden County,12039
12,041,Florida,Gilchrist County,12041
12,043,Florida,Glades County,12043
12,045,Florida,Gulf County,12045
12,047,Florida,Hamilton County,12047
12,049,Florida,Hardee County,12049
12,051,Florida,Hendry County,12051
12,053,Florida,Hernando County,12053
12,055,Florida,Highlands County,12055
12,057,Florida,Hillsborough County,12057
12,059,Florida,Holmes County,12059
12,061,Florida,Indian River County,12061
12,063,Florida,Jackson County,12063
12,065,Florida,Jefferson County,12065
12,067,Florida,Lafayette County,12067
12,069,Florida,Lake County,12069
12,071,Florida,Lee County,12071
12,073,Florida,Leon County,12073
12,075,Florida,Levy County,12075
12,077,Florida,Liberty County,12077
12,079,Florida,Madison County,12079
12,081,Florida,Manatee County,12081
12,083,Florida,Marion County,12083
12,085,Florida,Martin County,12085
12,086,Florida,Miami-Dade County,12086
12,087,Florida,Monroe County,12087
12,089,Florida,Nassau County,12089
12,091,Florida,Okaloosa County,12091
12,093,Florida,Okeechobee County,12093
12,095,Florida,Orange County,12095
12,097,Florida,Osceola County,12097
12,099,Florida,Palm Beach County,12099
12,101,Florida,Pasco County,12101
12,103,Florida,Pinellas County,12103
12,105,Florida,Polk County,12105
12,107,Florida,Putnam County,12107
12,109,Florida,St. Johns County,12109
12,111,Florida,St. Lucie County,12111
12,113,Florida,Santa Rosa County,12113
12,115,Florida,Sarasota County,12115
12,117,Florida,Seminole County,12117
12,119,Florida,Sumter County,12119
12,121,Florida,Suwannee County,12121
12,123,Florida,Taylor County,12123
12,125,Florida,Union County,12125
12,127,Florida,Volusia County,12127
12,129,Florida,Wakulla County,12129
12,131,Florida,Walton County,12131
12,133,Florida,Washington County,12133
13,001,Georgia,Appling County,13001
13,003,Georgia,Atkinson County,13003
13,005,Georgia,Bacon County,13005
13,007,Georgia,Baker County,13007
13,009,Georgia,Baldwin County,13009
13,011,Georgia,Banks County,13011
13,013,Georgia,Barrow County,13013
13,015,Georgia,Bartow County,13015
13,017,Georgia,Ben Hill County,13017
13,019,Georgia,Berrien County,13019
13,021,Georgia,Bibb County,13021
13,023,Georgia,Bleckley County,13023
13,025,Georgia,Brantley County,13025
13,027,Georgia,Brooks County,13027
13,029,Georgia,Bryan County,13029
13,031,Georgia,Bulloch County,13031
13,033,Georgia,Burke County,13033
13,035,Georgia,Butts County,13035
13,037,Georgia,Calhoun County,13037
13,039,Georgia,Camden County,13039
13,043,Georgia,Candler County,13043
13,045,Georgia,Carroll County,13045
13,047,Georgia,Catoosa County,13047
13,049,Georgia,Charlton County,13049
13,051,Georgia,Chatham County,13051
