"fips","dem_amount","rep_amount"
6001,4326353.3597702,1238910.41605535
6003,2922.49637455017,836.896780781333
6005,102900.864376544,29467.0689367755
6007,567378.467982421,162476.579089759
6009,118828.340189305,34028.1193284031
6011,55775.9339082661,15972.2010057532
6013,2985983.66071688,855077.232903072
6015,71993.3296448089,20616.2739301067
6017,499187.7487665,142949.234629065
6019,2586243.62294902,740606.209544208
6021,73497.2892494268,21046.9533186221
6023,350901.473464368,100485.432957623
6025,469087.848108156,134329.716677847
6027,46695.2277241014,13371.8166771607
6029,2330236.56453748,667295.089329422
6031,395896.010207,113370.233527633
6033,166667.716184045,47727.5785007856
6035,79140.3734801792,22662.9276163222
6037,25986938.7167593,7441715.08433955
6039,407252.070078702,116622.1964836
6041,669989.412435183,191860.625493808
6043,44531.1825787303,12752.1127721712
6045,224555.923822721,64304.6579592559
6047,718794.325318947,205836.579351072
6049,22885.5539835235,6553.59117704851
6051,37389.3158848562,10706.941631183
6053,1123597.60746999,321757.531942185
6055,356560.089119609,102105.854891004
6057,258222.87497188,73945.6495720478
6059,8220503.41602123,2354053.50890437
6061,1031102.79750061,295270.378912177
6063,48683.250058605,13941.1140444239
6065,6395183.10731569,1831348.09049796
6067,4017611.93807935,1150498.09015581
6069,162582.95154362,46557.8503164872
6071,5643304.2592659,1616037.30587216
6073,8641503.38534284,2474612.60423893
6075,2281951.95437407,653468.131267497
6077,1972874.01848597,564959.439928195
6079,732852.853051614,209862.430915664
6081,1984328.4440461,568239.57124348
6083,1155794.25043426,330977.480710438
6085,4990381.29377262,1429063.89071998
6087,707231.1797874,202525.314586015
6089,466149.820309118,133488.372261384
6091,7778.65509789482,2227.52420393969
6093,112703.781799415,32274.2683245691
6095,1158755.57537003,331825.496580424
6097,1279623.7093088,366437.738728362
6099,1425422.36812205,408189.177418113
6101,251016.294009304,71881.9466157189
6103,168474.538566185,48244.986785095
6105,31800.5916398129,9106.53405836907
6107,1206778.73988788,345577.586108374
6109,141020.157212351,40383.0494450004
6111,2189946.38427608,627121.078761464
6113,570779.84994536,163450.61130406
6115,203637.683607717,58314.4339685615
