"state","dem_poll_mean","rep_poll_mean","adj_dem_poll_mean","adj_rep_poll_mean","dem_poll_median","rep_poll_median","adj_dem_poll_median","adj_rep_poll_median","dem_poll_sd","rep_poll_sd","adj_dem_poll_sd","adj_rep_poll_sd"
"Alabama",31.6195348837209,54.3081395348837,33.249875503876,57.3752617054264,36,54,34.54714,55.02031,8.09002103872275,3.13764112417719,5.0486464203806,5.09661984626716
"Alaska",32.7826315789474,40.2123684210526,35.561076754386,44.9189879824561,31,39,34.79993,45.62718,6.23005277788857,5.94570720469396,5.41473895394464,3.83916359640339
"Arizona",40.9743037974684,41.6087341772152,42.1612426160338,44.4279070042194,41.3,43,41.79758,44.38242,2.8981708215193,4.98593896612805,2.33965304558373,2.64785009203019
"Arkansas",34.7146666666667,48.3702222222222,36.439381037037,51.6877461481482,34.43,49.92,36.14146,52.35081,4.16156270877954,6.15513709325925,3.80286051094971,3.4414127679558
"California",53.7816901408451,29.4788732394366,55.303613286385,32.508618028169,54,30,54.42379,33.07183,6.03528234459715,3.32280394891311,3.98223734803969,3.62533634986061
"Colorado",42.5685,37.15775,43.818263625,39.8645916666667,43,39,43.57044,39.83423,3.16301261246472,5.74493387335355,2.82036018594865,2.92680142076017
"Connecticut",47.0968181818182,34.5825,48.9014360606061,38.0872128787879,48.53,36,49.431805,38.018065,4.65856402836587,4.6503696602635,2.31576323024117,2.05400461871848
"Delaware",44.24475,32.2205,46.19194175,35.8280485,45.175,33.13,46.328005,36.31023,6.52133679167241,5.03603482977657,4.06693414543193,4.12708309400024
"District of Columbia",68.5696153846154,12.6396153846154,71.7989385897436,17.9107039102564,66.17,8.43,72.800025,16.146865,17.8800944564683,8.75212930563857,13.9543198677413,12.5341876028501
"Florida",44.5493918918919,43.0062162162162,45.7156255855856,45.8065348423423,46,43.45,45.940755,45.635515,4.20142030585853,3.3243832209368,2.52914819815239,2.30500117810045
"Georgia",40.576625,45.120625,41.622087125,47.6577779166667,42,45,42.35548,47.800025,5.04758642611293,3.2653680463362,2.88481135667099,2.54756950640616
"Hawaii",48.8832142857143,27.22,51.8506623809524,32.1126679761905,49.22,28,50.70212,31.452295,4.55273363154418,4.15761835206718,4.5635480061716,3.48625144463522
"Idaho",27.7466666666667,46.4216666666667,29.2987234722222,49.7962135416667,29,47,29.515665,49.907825,4.09828908528589,6.62577400149455,3.08362033199338,4.23402407083487
"Illinois",47.9496666666667,32.5705,49.5974195,35.7772673333333,51,32.605,50.56783,36.06875,6.7071335242212,3.57117295645509,4.10183176676871,2.76243732097342
"Indiana",35.85625,45.5692857142857,36.8542186309524,48.4131095833333,36,48,36.69114,49.654225,2.79126174708116,7.71734275041995,3.1735027412405,4.45065997497678
"Iowa",39.6734285714286,40.2965714285714,41.283802047619,43.643877047619,40,41.89,41.33851,44.07246,3.55247695205381,5.72729573344336,2.83853492362004,3.12523470920321
