COUNTY,...2,BIDEN,TRUMP,OTHER,VOTE MARGIN,POPULATION,state,x,pct_in
Los Angeles County,98% in,0.712,0.268,0.021,D +44,10098052,California,NA,NA
San Diego County,92% in,0.602,0.375,0.023,D +23,3302833,California,NA,NA
Orange County,95% in,0.535,0.444,0.021,D +9,3164182,California,NA,NA
Riverside County,99% in,0.533,0.448,0.019,D +8,2383286,California,NA,NA
San Bernardino County,100% in,0.542,0.435,0.022,D +11,2135413,California,NA,NA
Santa Clara County,98% in,0.727,0.252,0.021,D +48,1922200,California,NA,NA
Alameda County,100% in,0.802,0.177,0.021,D +63,1643700,California,NA,NA
Sacramento County,100% in,0.616,0.359,0.024,D +26,1510023,California,NA,NA
Contra Costa County,100% in,0.718,0.262,0.021,D +46,1133247,California,NA,NA
Fresno County,99% in,0.529,0.451,0.02,D +8,978130,California,NA,NA
Kern County,97% in,0.44,0.536,0.024,R +10,883053,California,NA,NA
San Francisco County,93% in,0.853,0.127,0.02,D +73,870044,California,NA,NA
Ventura County,100% in,0.595,0.383,0.021,D +21,848112,California,NA,NA
San Mateo County,100% in,0.779,0.202,0.019,D +58,765935,California,NA,NA
San Joaquin County,88% in,0.568,0.412,0.02,D +16,732212,California,NA,NA
Stanislaus County,100% in,0.493,0.485,0.023,D +1,539301,California,NA,NA
Sonoma County,98% in,0.747,0.229,0.024,D +52,501317,California,NA,NA
Tulare County,88% in,0.45,0.528,0.021,R +8,460477,California,NA,NA
Santa Barbara County,94% in,0.65,0.327,0.023,D +32,443738,California,NA,NA
Solano County,100% in,0.64,0.337,0.024,D +30,438530,California,NA,NA
Monterey County,97% in,0.697,0.281,0.022,D +42,433212,California,NA,NA
Placer County,100% in,0.457,0.52,0.024,R +6,380077,California,NA,NA
San Luis Obispo County,98% in,0.555,0.421,0.024,D +13,281455,California,NA,NA
Santa Cruz County,95% in,0.79,0.186,0.025,D +60,273765,California,NA,NA
Merced County,100% in,0.541,0.436,0.024,D +10,269075,California,NA,NA
Marin County,94% in,0.825,0.156,0.018,D +67,260295,California,NA,NA
Butte County,90% in,0.495,0.477,0.028,D +2,227075,California,NA,NA
Yolo County,78% in,0.715,0.264,0.021,D +45,214977,California,NA,NA
El Dorado County,100% in,0.445,0.532,0.023,R +9,186661,California,NA,NA
Imperial County,85% in,0.622,0.357,0.021,D +26,180216,California,NA,NA
Shasta County,97% in,0.325,0.653,0.022,R +33,179085,California,NA,NA
Madera County,97% in,0.43,0.548,0.022,R +12,155013,California,NA,NA
Kings County,96% in,0.423,0.553,0.025,R +13,150075,California,NA,NA
Napa County,95% in,0.692,0.286,0.022,D +41,140530,California,NA,NA
Humboldt County,82% in,0.662,0.31,0.028,D +35,135768,California,NA,NA
Nevada County,97% in,0.561,0.415,0.025,D +15,99092,California,NA,NA
Sutter County,100% in,0.407,0.572,0.021,R +17,95872,California,NA,NA
Mendocino County,58% in,0.727,0.251,0.022,D +48,87422,California,NA,NA
Yuba County,100% in,0.379,0.593,0.028,R +21,75493,California,NA,NA
Lake County,39% in,0.623,0.358,0.019,D +26,64148,California,NA,NA
Tehama County,96% in,0.317,0.661,0.022,R +34,63373,California,NA,NA
San Benito County,96% in,0.612,0.368,0.021,D +24,59416,California,NA,NA
Tuolumne County,97% in,0.396,0.58,0.024,R +18,53932,California,NA,NA
Calaveras County,97% in,0.369,0.61,0.022,R +24,45235,California,NA,NA
Siskiyou County,98% in,0.409,0.567,0.024,R +16,43540,California,NA,NA
Amador County,97% in,0.366,0.609,0.025,R +24,37829,California,NA,NA
Lassen County,95% in,0.235,0.747,0.018,R +51,31185,California,NA,NA
Glenn County,86% in,0.35,0.629,0.02,R +28,27897,California,NA,NA
Del Norte County,94% in,0.408,0.564,0.027,R +16,27424,California,NA,NA
Colusa County,94% in,0.406,0.573,0.021,R +17,21464,California,NA,NA
Plumas County,97% in,0.408,0.571,0.022,R +16,18699,California,NA,NA
Inyo County,95% in,0.489,0.487,0.024,D +0,18085,California,NA,NA
Mariposa County,92% in,0.398,0.579,0.024,R +18,17540,California,NA,NA
Mono County,92% in,0.596,0.373,0.031,D +22,14174,California,NA,NA
Trinity County,12% in,0.378,0.567,0.054,R +19,12862,California,NA,NA
Modoc County,82% in,0.279,0.701,0.02,R +42,8938,California,NA,NA
Sierra County,87% in,0.378,0.592,0.03,R +21,2930,California,NA,NA
Alpine County,80% in,0.647,0.326,0.027,D +32,1146,California,NA,NA
Clark County,100% in,0.537,0.443,0.02,D +9,2141574,Nevada,NA,NA
Washoe County,100% in,0.508,0.463,0.029,D +5,450486,Nevada,NA,NA
Carson City,100% in,0.428,0.542,0.03,R +11,54467,Nevada,NA,NA
Lyon County,100% in,0.28,0.692,0.028,R +41,53155,Nevada,NA,NA
Elko County,100% in,0.207,0.762,0.03,R +55,52252,Nevada,NA,NA
Douglas County,100% in,0.339,0.634,0.027,R +29,47828,Nevada,NA,NA
Nye County,100% in,0.287,0.691,0.022,R +40,43705,Nevada,NA,NA
Churchill County,100% in,0.237,0.727,0.036,R +49,24010,Nevada,NA,NA
Humboldt County,100% in,0.217,0.756,0.026,R +54,16904,Nevada,NA,NA
White Pine County,100% in,0.197,0.779,0.024,R +58,9737,Nevada,NA,NA
Pershing County,100% in,0.236,0.746,0.018,R +51,6611,Nevada,NA,NA
Lander County,100% in,0.179,0.795,0.026,R +62,5746,Nevada,NA,NA
Lincoln County,100% in,0.135,0.845,0.02,R +71,5174,Nevada,NA,NA
Mineral County,100% in,0.355,0.609,0.036,R +25,4448,Nevada,NA,NA
Storey County,100% in,0.314,0.663,0.023,R +35,3941,Nevada,NA,NA
