"Fips","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","White..Not.Latino..Population","African.American.Population","Native.American.Population","Asian.American.Population","Other.Race.or.Races","Latino.Population","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Gini.Coefficient","Child.Poverty.living.in.families.below.the.poverty.line","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","White","Black","Hispanic","Asian","Amerindian","Other","White..Asian","Sire.Homogeneity","Median.Age","lon","lat","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","CA","S","MAR","CFS","ACFS","Mean.Alc","Max.Alc","Mixedness","elevation","Annual.Prcp","Winter.Prcp","Summer.Prcp","Spring.Prcp","Autumn.Prcp","Annual.Tavg","Annual.Tmax","Annual.Tmin","Winter.Tavg","Winter.Tmax","Winter.Tmin","Summer.Tavg","Summer.Tmax","Summer.Tmin","Spring.Tavg","Spring.Tmax","Spring.Tmin","Autumn.Tavg","Autumn.Tmax","Autumn.Tmin","Nearest.County","temp","precip","Temp.Bins","Lat.Bins","Lon.Bins","Precip.Bins","Elevation.Bins"
13231,"17.0","83.0","15.7","5.9","77.95","28673.490475","85.25","11.35","0.4","0.25","1.4","1.35","16.75","7.95",17440,"37.0","10.5","0.38","14.85","28.35","12.9","24.4","0.1","15.05","19.15","85.25","11.35","1.35","0.25","0.4","1.4","85.5","0.740039","37.9","-84.3866265","33.0907685","","","0.09","37.7","0.305","","0.313","0.117","191.5","38.6","0.20400000000000001","0.091","59.74","","70.1","","0.28943006285585104","-0.044023513728925004","0.603244856091523","2.1339678680398803e-05","2.1339678680398803e-05","4.10923837569107e-05","9.580966005873212e-05","-0.605323255380121","","","","","","","","","","","","","","","","","","","","","",NA,"","","",NA,"(-84.5,-82.1]","",""
49051,"9.0","91.0","31.1","11.2","74.2","28934.628255","86.5","0.30000000000000004","0.30000000000000004","0.6000000000000001","1.2","11.05","11.1","1.9500000000000002",21924,"35.7","6.95","0.41300000000000003","8.1","35.05","16.05","25.85","0.30000000000000004","12.55","10.25","86.5","0.30000000000000004","11.05","0.6000000000000001","0.30000000000000004","1.2","87.1","0.76063325","31.3","-111.1615683","40.3348838","2.8","2.6","0.07","28.4","0.136","0.078","0.232","0.062","139.2","28.3","0.20800000000000002","0.069","57.8","","57.8","","0.371450202085896","1.18335340263817","0.531713028848898","-0.000139199857425","0.000139199857425","0.0002023154976","0.000597604322289","0.254505579789131","1779.325","1962.75","625.25","308.75","490.25","538.5","459.25","605.5","313.0","259.5","371.5","147.5","655.0","836.5","473.25","448.25","587.75","309.0","470.25","621.0","319.75",49051,"7.73611111111111","498.5385","6.44,8.12",NA,"[-164,-109]","(444,628]","(1.01e+03,3.06e+03]"
53021,"32.4","67.6","14.6","4.6","68.95","22461.965715","44.25","1.75","0.5","1.8","1.5","50.2","28.45","14.15",73960,"16.5","20.2","0.429","27.15","23.35","19.9","20.15","11.75","9.55","15.3","44.25","1.75","50.2","1.8","0.5","1.5","46.05","0.4486905","28.4","-118.9069436","46.5345799","4.2","2.6","0.07","75.1","0.34400000000000003","0.117","0.322","0.091","361.9","114.5","0.249","0.094","293.21","4.21","42.2","5.2","-1.64142675987043","-0.786791860116116","0.938695480198179","0.00010171651463700001","0.00010171651463700001","0.00014061786189400002","0.000551389319366","0.45426268456592206","393.65","1029.0","349.5","119.0","291.5","269.0","","","","","","","","","","","","","","","",53021,"","261.366","",NA,"[-164,-109]","[123,444]","(317,396]"
31119,"13.9","86.1","20.0","5.5","77.2","24901.171745","84.0","1.2","0.85","0.45","1.1","12.45","19.5","11.0",34801,"49.4","11.95","0.42","14.95","26.9","16.75","23.55","2.3","10.15","20.4","84.0","1.2","12.45","0.45","0.85","1.1","84.45","0.72145775","36.8","-97.6068564","41.9099293","2.5","2.2","0.06","42.1","0.28200000000000003","0.176","0.294","0.08","194.7","88.1","0.147","0.036000000000000004","125.91","","54.2","6.1","1.02562179720069","0.39360866163415204","0.477162855330288","-2.8099288993777002e-05","2.8099288993777002e-05","6.98821297591511e-05","0.00022189366597300003","-0.669603714987506","475.066666666667","2853.33333333333","208.0","1146.0","858.333333333333","641.0","483.666666666667","600.333333333333","366.333333333333","235.0","341.0","128.666666666667","718.333333333333","834.666666666667","602.0","481.0","602.0","360.333333333333","495.333333333333","620.0","370.666666666667",31119,"9.09259259259259","724.746666666667","8.12,9.33",NA,"(-100,-96.7]","(628,818]","(396,572]"
12045,"22.3","77.7","13.6","5.8","70.4","25476.32381","73.95","18.65","0.45","0.2","2.8","4.0","41.2","7.0",15788,"33.3","18.5","0.419","33.25","29.35","23.55","22.05","1.45","14.95","8.75","73.95","18.65","4.0","0.2","0.45","2.8","74.15","0.5840507500000001","42.5","-85.2565366","29.9072571","4.3","3.0","0.1","44.6","0.459","0.24","0.311","0.113","359.8","689.7","0.215","0.085","392.9","","84.4","","0.041796869961959006","-1.06232261809201","0.656996328639714","-1.30169569179106e-06","1.30169569179106e-06","8.9090252055864e-05","0.00039705583557600005","-0.5275806897734231","12.8","6174.0","1378.0","2296.0","1246.0","1254.0","665.0","772.0","558.0","524.0","640.0","409.0","795.0","884.0","705.0","660.0","776.0","543.0","679.0","786.0","571.0",12045,"19.1666666666667","1568.196","18.5,25.2",NA,"(-87.2,-84.5]","(1.39e+03,4.3e+03]","[-12.3,38.9]"
13267,"26.0","74.0","11.9","4.8","64.0","21881.09619","58.7","27.95","0.1","1.25","1.1","10.9","34.05","13.25",24415,"48.3","20.5","0.44","23.5","24.85","19.95","18.05","5.3","16.75","15.05","58.7","27.95","10.9","1.25","0.1","1.1","59.95","0.434848499999999","35.8","-82.0592081","32.0437683","5.7","5.5","0.09","87.7","0.406","0.315","0.315","0.105","358.1","229.8","0.268","0.101","154.11","10.15","82.5","11.3","-0.88414943430864","-1.650715506359179","0.742760426252367","-8.719158985964763e-05","8.719158985964763e-05","0.00019516313791900002","0.0006202155805910001","0.251516216648981","61.0","4694.0","1104.0","1647.0","954.0","989.0","662.0","777.0","547.0","506.0","624.0","388.0","810.0","914.0","706.0","655.0","782.0","529.0","674.0","786.0","562.0",13267,"19.0","1192.276","18.5,25.2",NA,"(-82.1,-78.2]","(1.19e+03,1.27e+03]","(38.9,105]"
55083,"12.8","87.2","13.2","3.5","75.25","28724.721585","96.3","0.30000000000000004","1.05","0.30000000000000004","0.8","1.2","17.2","10.3",37469,"35.3","11.15","0.40900000000000003","15.7","27.35","14.45","21.05","2.9","11.95","22.35","96.3","0.30000000000000004","1.2","0.30000000000000004","1.05","0.8","96.6","0.92770525","43.0","-88.2065162","44.9965754","4.2","3.8","0.06","23.7","0.23700000000000002","0.185","0.294","0.083","189.5","18.2","0.111","0.079","35.34","","70.5","","0.7369889738505491","0.425748484215819","0.5052397746150741","-9.07619809764615e-06","9.07619809764615e-06","0.00011960824376000002","0.00038557353835","-0.6160854655607191","216.725","3178.0","424.0","1090.25","794.25","869.5","430.75","537.0","324.5","181.0","272.75","89.0","661.0","778.25","543.75","420.0","531.75","308.25","457.0","560.0","354.0",55083,"6.15277777777778","807.212","-10.1,6.44",NA,"(-90.4,-87.2]","(628,818]","(216,259]"
1059,"30.4","69.6","11.8","4.2","68.9","21582.97016","80.3","3.8","0.45","0.2","1.15","14.15","25.85","13.6",31275,"24.3","18.95","0.454","23.55","21.4","14.05","21.7","1.8","13.5","27.55","80.3","3.8","14.15","0.2","0.45","1.15","80.5","0.66643175","38.5","-87.8428147","34.4419884","5.0","4.4","0.09","65.9","0.324","0.245","0.343","0.14200000000000002","279.1","50.4","0.21","0.082","275.89","","92.4","10.4","-0.17492683562416803","-1.28420026282162","0.651386020504754","-2.8091218733095105e-05","2.8091218733095105e-05","0.00014905393651800002","0.000452590240613","-0.265758816601934","236.25","","","","","","598.0","713.5","482.5","415.5","522.0","309.0","771.5","881.0","661.5","594.0","714.5","473.0","608.5","732.0","484.5",1059,"15.4444444444444","","14.9,16.6",NA,"(-90.4,-87.2]","","(216,259]"
53015,"13.9","86.1","14.7","4.7","74.75","27034.81238","86.75","0.55","1.1","1.3","3.15","7.15","28.3","7.0",101142,"41.2","16.35","0.42","22.2","27.6","18.25","22.05","2.55","11.7","17.85","86.75","0.55","7.15","1.3","1.1","3.15","88.05","0.758981","39.5","-122.6586822","46.1859234","4.5","4.1","0.07","46.7","0.375","0.232","0.367","0.115","377.6","107.6","0.162","0.109","280.36","3.15","79.6","6.0","-0.255892042709225","-0.40665634048855104","0.542118178150307","3.6723396451166005e-05","3.6723396451166005e-05","3.4770447724774404e-05","0.000207555239475","-0.62179807037309","49.1","5739.5","2252.5","456.0","1414.5","1616.5","","","","","","","","","","","","","","","",53015,"","1457.833","",NA,"[-164,-109]","(1.39e+03,4.3e+03]","(38.9,105]"
29061,"16.0","84.0","14.4","4.4","73.85","24987.185715","97.45","0.25","0.2","0.1","0.9500000000000001","1.1","25.25","12.1",8247,"28.2","14.35","0.433","19.5","27.8","17.1","21.2","3.7","11.7","18.55","97.45","0.25","1.1","0.1","0.2","0.9500000000000001","97.55","0.94987275","40.0","-93.970053","39.9628387","3.8","4.3","0.07","38.6","0.184","0.189","0.311","0.109","216.5","","0.218","0.07","100.81","","64.6","","0.31422639473658903","-0.091685624017485","0.5006837243019341","2.3614263070737003e-05","2.3614263070737003e-05","2.9352499435346103e-05","0.00012018114387700002","-0.75304650060398","266.7","3892.5","464.5","1361.5","1121.0","945.5","","","","","","","","","","","","","","","",29061,"","988.695","",NA,"(-96.7,-93.6]","(932,1.03e+03]","(259,317]"
