"Geography","year","gdp_change","raw_gdp"
"Alabama",2016,0.612851104864847,237509.699961259
"Alaska",2016,-0.699170568904523,59863.8107547216
"Arizona",2016,2.50595706761005,352077.958321131
"Arkansas",2016,1.05064236726061,137942.273047768
"California",2016,3.96187735977232,3029458.96366369
"Colorado",2016,3.18900219756296,370162.18140894
"Connecticut",2016,0.929918501262937,310752.016018361
"Delaware",2016,0.0134507281750333,83495.0990460564
"District of Columbia",2016,1.91171595949765,145490.589214868
"Florida",2016,3.52483619005902,1073196.26611562
"Georgia",2016,3.60140685163184,609639.406192895
"Hawaii",2016,2.29517349839329,104180.837649335
"Idaho",2016,2.63212706961124,79346.8238685689
"Illinois",2016,0.984374274144029,942759.099201922
"Indiana",2016,0.861254079312871,393564.754473811
"Iowa",2016,1.86125702366755,208389.3909
"Kansas",2016,2.78785527833331,181108.647476918
"Kentucky",2016,0.58345097019818,230509.138984772
"Louisiana",2016,-0.941833745187217,269257.394961645
"Maine",2016,1.83605576901004,70433.0519210101
"Maryland",2016,2.593717258867,439271.534264836
"Massachusetts",2016,2.15618332093103,600595.73894178
"Michigan",2016,2.00986852614793,573409.352401443
"Minnesota",2016,1.60247793548699,395796.56353393
"Mississippi",2016,0.460011978836938,126129.186687174
"Missouri",2016,0.229650632745665,350440.253073797
"Montana",2016,0.9002861436272,53875.7173496674
"Nebraska",2016,1.62528386413578,134992.214140967
"Nevada",2016,2.56359558057105,180774.137201521
"New Hampshire",2016,2.54341741590444,92403.0442941242
"New Jersey",2016,0.933594807962945,689203.008583358
"New Mexico",2016,1.51704304780765,104494.692283093
"New York",2016,1.72852250387774,1863039.79651192
"North Carolina",2016,2.05851152908304,601446.06169721
"North Dakota",2016,-2.56897568521217,61252.5411468812
"Ohio",2016,1.62087683967585,730194.031110246
"Oklahoma",2016,1.67003588613561,210743.153081663
"Oregon",2016,4.83469035267749,242078.736465445
"Pennsylvania",2016,1.79728227166382,849065.943464146
"Rhode Island",2016,0.623623225427924,67932.223855088
"South Carolina",2016,3.37027642038922,245620.088734836
"South Dakota",2016,1.53822599842204,57584.928436431
"Tennessee",2016,2.31247481531758,399004.363172511
"Texas",2016,2.67536333672696,1789512.0776296
"Utah",2016,3.69794263097175,174799.144993933
"Vermont",2016,0.898712402832287,37683.4782257171
"Virginia",2016,0.911093302299482,566399.459804299
"Washington",2016,4.02791349448498,545077.450632277
"West Virginia",2016,-0.4502136918326,82715.6573985898
"Wisconsin",2016,1.67821030093258,364847.852428697
"Wyoming",2016,-0.247634535263511,43599.0020412938
"Alabama",2020,-0.999102029999936,245155.887191466
"Alaska",2020,-2.52853080753277,57493.6271613421
"Arizona",2020,1.03281936173739,394359.300683255
"Arkansas",2020,-1.33185344665132,140348.88394596
"California",2020,0.218978836522018,3390610.04788428
"Colorado",2020,1.27522529479498,419506.139691751
"Connecticut",2020,-2.24158762741641,310996.676611885
"Delaware",2020,-1.52697667949334,80845.3572166304
"District of Columbia",2020,-0.106350133284134,151395.751637697
"Florida",2020,-0.0263763239305307,1192781.63985278
"Georgia",2020,-0.479615006685983,670315.063056937
"Hawaii",2020,-3.28230442012975,106901.093743941
"Idaho",2020,1.24373241391736,91115.252575866
"Illinois",2020,-1.89976510322966,952465.789668242
"Indiana",2020,-1.08699800737574,411694.320378699
"Iowa",2020,-1.35976368668985,209567.6763
"Kansas",2020,-1.10860920476532,190284.146950944
"Kentucky",2020,-1.53502205041228,234426.598754606
"Louisiana",2020,-1.65095282941433,272029.506066094
"Maine",2020,-0.923047758097293,73814.2028024147
"Maryland",2020,-1.07427430524629,457900.252889627
"Massachusetts",2020,-0.789055020709464,644437.953696956
"Michigan",2020,-2.31736468535293,589439.090459049
"Minnesota",2020,-1.31175491596388,414175.186363658
"Mississippi",2020,-1.63160867405,126175.781126676
"Missouri",2020,-1.60114475389341,356121.494274344
"Montana",2020,-0.140501166665705,56722.5153748056
"Nebraska",2020,-0.371022202295763,141174.940182733
"Nevada",2020,-1.00242790317932,198726.355560087
"New Hampshire",2020,-2.03164812922612,96281.1361814738
"New Jersey",2020,-1.69837989871956,696344.563900106
"New Mexico",2020,0.835899445782764,109788.138910102
"New York",2020,-1.851694032299,1944097.15901657
"North Carolina",2020,-0.584081564873463,640441.138835085
"North Dakota",2020,-0.857545880005751,59997.0366769646
"Ohio",2020,-1.50272973412519,752218.777319073
"Oklahoma",2020,-1.83135989830304,211347.051578916
"Oregon",2020,0.207840403099418,274973.125598696
"Pennsylvania",2020,-1.36503437873758,874403.838663522
"Rhode Island",2020,-2.51423476308834,67076.4750499715
"South Carolina",2020,-0.887223099556329,267139.190261004
"South Dakota",2020,-0.517738590253241,59570.6216148803
"Tennessee",2020,-1.95971610267464,418635.55109005
"Texas",2020,-0.305694968232199,1937086.19970169
"Utah",2020,1.72083719912953,202917.916661543
"Vermont",2020,-2.86085479303162,37493.3198953844
"Virginia",2020,-0.369652135363537,595162.165455864
"Washington",2020,2.19777698108085,651455.710178661
"West Virginia",2020,-2.50804955412955,82702.6270775114
"Wisconsin",2020,-1.68536737846226,377551.222980712
"Wyoming",2020,-2.17557335666124,42120.922282705
