GeoFIPS,GeoName,Region,ComponentId,ComponentName,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,1,...,Personal consumption expenditures,20384,21387,22591,24061,24914,25658,26752,28194,29743,31166,32352,32912,32077,32962,34268,35160,35879,37188,38196
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,2,..., Goods,7349,7633,8184,8682,8850,9021,9365,9889,10408,10829,11143,11083,10405,10853,11514,11883,12098,12434,12466
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,3,...,  Durable goods,2624,2825,3066,3234,3304,3426,3507,3688,3814,3875,3933,3625,3336,3461,3610,3794,3923,4061,4216
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,4,...,   Motor vehicles and parts,1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1117,1034,1105,1166,1260,1315,1389,1446
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,5,...,   Furnishings and durable household equipment,589,629,685,738,754,785,811,869,918,950,941,884,796,810,836,864,890,916,949
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,6,...,   Recreational goods and vehicles,641,694,756,818,824,851,893,970,1032,1086,1115,1083,990,1011,1030,1072,1100,1125,1172
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,7,...,   Other durable goods,320,341,368,391,380,394,419,451,477,514,547,541,516,535,578,599,619,631,649
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,8,...,  Nondurable goods,4725,4808,5118,5447,5546,5595,5858,6201,6594,6955,7210,7458,7069,7392,7904,8088,8174,8373,8250
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,9,...,   Food and beverages purchased for off-premises consumption,1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2542,2510,2550,2660,2702,2709,2795,2802
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,10,...,   Clothing and footwear,908,935,972,995,975,969,984,1016,1051,1073,1075,1051,999,1036,1087,1128,1149,1163,1181
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,11,...,   Gasoline and other energy goods,542,480,525,654,625,584,677,795,960,1071,1147,1280,927,1078,1314,1327,1302,1251,945
0,United States,,2,Per capita personal consumption expenditures (PCE) by state,12,...,   Other nondurable goods,1534,1626,1774,1882,1967,2042,2130,2230,2321,2463,2541,2586,2633,2728,2843,2931,3014,3164,3323
