state,jurisdiction,fipscode,office,candidate,party,votes,totalvotes,state_county,county,result
AK,District 1,,Senate,"Metcalfe, Ray",Democrat,802,6413,AK District 1,District 2,0.1250584749727117
AK,District 1,,Senate,"Murkowski, Lisa",Republican,2950,6413,AK District 1,District 4,0.46000311866521126
AK,District 10,,Senate,"Metcalfe, Ray",Democrat,671,8837,AK District 10,District 9,0.0759307457281883
AK,District 10,,Senate,"Murkowski, Lisa",Republican,3325,8837,AK District 10,District 11,0.3762589113952699
AK,District 11,,Senate,"Metcalfe, Ray",Democrat,679,9546,AK District 11,District 16,0.0711292688036874
AK,District 11,,Senate,"Murkowski, Lisa",Republican,3967,9546,AK District 11,District 18,0.4155667295202179
AK,District 12,,Senate,"Metcalfe, Ray",Democrat,650,9394,AK District 12,District 23,0.06919310197998722
AK,District 12,,Senate,"Murkowski, Lisa",Republican,3930,9394,AK District 12,District 25,0.41835213966361506
AK,District 13,,Senate,"Metcalfe, Ray",Democrat,629,6190,AK District 13,District 30,0.10161550888529887
AK,District 13,,Senate,"Murkowski, Lisa",Republican,2848,6190,AK District 13,District 32,0.46009693053311795
AK,District 14,,Senate,"Metcalfe, Ray",Democrat,914,10231,AK District 14,District 37,0.08933633075945656
AK,District 14,,Senate,"Murkowski, Lisa",Republican,4969,10231,AK District 14,District 39,0.485680774117877
AK,District 15,,Senate,"Metcalfe, Ray",Democrat,816,4737,AK District 15,District 44,0.17226092463584547
AK,District 15,,Senate,"Murkowski, Lisa",Republican,2075,4737,AK District 15,District 46,0.4380409541904159
AK,District 16,,Senate,"Metcalfe, Ray",Democrat,1203,7260,AK District 16,District 51,0.16570247933884297
AK,District 16,,Senate,"Murkowski, Lisa",Republican,3014,7260,AK District 16,District 53,0.41515151515151516
AK,District 17,,Senate,"Metcalfe, Ray",Democrat,1092,6575,AK District 17,District 58,0.16608365019011406
AK,District 17,,Senate,"Murkowski, Lisa",Republican,2834,6575,AK District 17,District 60,0.43102661596958175
AK,District 18,,Senate,"Metcalfe, Ray",Democrat,1206,7236,AK District 18,District 65,0.16666666666666666
AK,District 18,,Senate,"Murkowski, Lisa",Republican,2845,7236,AK District 18,District 67,0.3931730237700387
AK,District 19,,Senate,"Metcalfe, Ray",Democrat,996,4664,AK District 19,District 72,0.21355060034305318
AK,District 19,,Senate,"Murkowski, Lisa",Republican,1724,4664,AK District 19,District 74,0.36963979416809606
AK,District 2,,Senate,"Metcalfe, Ray",Democrat,615,5005,AK District 2,District 79,0.12287712287712288
AK,District 2,,Senate,"Murkowski, Lisa",Republican,2368,5005,AK District 2,District 81,0.4731268731268731
AK,District 20,,Senate,"Metcalfe, Ray",Democrat,1298,6959,AK District 20,District 86,0.18652105187526943
AK,District 20,,Senate,"Murkowski, Lisa",Republican,2773,6959,AK District 20,District 88,0.3984767926426211
AK,District 21,,Senate,"Metcalfe, Ray",Democrat,1212,8523,AK District 21,District 93,0.14220344948961633
AK,District 21,,Senate,"Murkowski, Lisa",Republican,3780,8523,AK District 21,District 95,0.44350580781414994
AK,District 22,,Senate,"Metcalfe, Ray",Democrat,917,8280,AK District 22,District 100,0.1107487922705314
AK,District 22,,Senate,"Murkowski, Lisa",Republican,4080,8280,AK District 22,District 102,0.4927536231884058
AK,District 23,,Senate,"Metcalfe, Ray",Democrat,933,6768,AK District 23,District 107,0.13785460992907803
AK,District 23,,Senate,"Murkowski, Lisa",Republican,2941,6768,AK District 23,District 109,0.43454491725768324
AK,District 24,,Senate,"Metcalfe, Ray",Democrat,944,9206,AK District 24,District 114,0.10254182055181403
AK,District 24,,Senate,"Murkowski, Lisa",Republican,4631,9206,AK District 24,District 116,0.5030414946773843
AK,District 25,,Senate,"Metcalfe, Ray",Democrat,1014,7962,AK District 25,District 121,0.12735493594574226
AK,District 25,,Senate,"Murkowski, Lisa",Republican,3556,7962,AK District 25,District 123,0.4466214518965084
AK,District 26,,Senate,"Metcalfe, Ray",Democrat,952,8782,AK District 26,District 128,0.10840355272147574
