state,county,fipscode,fipscode2,office,district,total.votes,party,candidate,votes,state_county,result
AZ,Apache,4001.0,400100000.0,US Senate,statewide,25087,Democrat,Kyrsten Sinema,16298,AZ Apache,0.6496591860326065
AZ,Apache,4001.0,400100000.0,US Senate,statewide,25087,Republican,Martha McSally,7810,AZ Apache,0.31131661816877265
AZ,Apache,4001.0,400100000.0,US Senate,statewide,25087,Republican,Robert Kay (write-in),3,AZ Apache,0.00011958384820823534
AZ,Apache,4001.0,400100000.0,US Senate,statewide,25087,Democrat,Sheila Bilyeu (write-in),6,AZ Apache,0.00023916769641647067
AZ,Cochise,4003.0,400300000.0,US Senate,statewide,45549,Democrat,Kyrsten Sinema,17383,AZ Cochise,0.38163296669520735
AZ,Cochise,4003.0,400300000.0,US Senate,statewide,45549,Republican,Martha McSally,26929,AZ Cochise,0.5912094667281389
AZ,Cochise,4003.0,400300000.0,US Senate,statewide,45549,Republican,Robert Kay (write-in),7,AZ Cochise,0.0001536806516059628
AZ,Cochise,4003.0,400300000.0,US Senate,statewide,45549,Democrat,Sheila Bilyeu (write-in),1,AZ Cochise,2.195437880085183e-05
AZ,Coconino,4005.0,400500000.0,US Senate,statewide,55280,Democrat,Kyrsten Sinema,34240,AZ Coconino,0.6193921852387844
AZ,Coconino,4005.0,400500000.0,US Senate,statewide,55280,Republican,Martha McSally,19249,AZ Coconino,0.34820911722141823
AZ,Coconino,4005.0,400500000.0,US Senate,statewide,55280,Republican,Robert Kay (write-in),2,AZ Coconino,3.61794500723589e-05
AZ,Coconino,4005.0,400500000.0,US Senate,statewide,55280,Democrat,Sheila Bilyeu (write-in),6,AZ Coconino,0.0001085383502170767
AZ,Gila,4007.0,400700000.0,US Senate,statewide,20499,Democrat,Kyrsten Sinema,7643,AZ Gila,0.37284745597346214
AZ,Gila,4007.0,400700000.0,US Senate,statewide,20499,Republican,Martha McSally,12180,AZ Gila,0.5941753256256402
AZ,Gila,4007.0,400700000.0,US Senate,statewide,20499,Republican,Robert Kay (write-in),1,AZ Gila,4.878286745694912e-05
AZ,Gila,4007.0,400700000.0,US Senate,statewide,20499,Democrat,Sheila Bilyeu (write-in),0,AZ Gila,0.0
AZ,Graham,4009.0,400900000.0,US Senate,statewide,10606,Democrat,Kyrsten Sinema,3368,AZ Graham,0.31755610032057324
AZ,Graham,4009.0,400900000.0,US Senate,statewide,10606,Republican,Martha McSally,6870,AZ Graham,0.6477465585517631
AZ,Graham,4009.0,400900000.0,US Senate,statewide,10606,Republican,Robert Kay (write-in),0,AZ Graham,0.0
AZ,Graham,4009.0,400900000.0,US Senate,statewide,10606,Democrat,Sheila Bilyeu (write-in),0,AZ Graham,0.0
AZ,Greenlee,4011.0,401100000.0,US Senate,statewide,2567,Democrat,Kyrsten Sinema,1042,AZ Greenlee,0.4059213089209194
AZ,Greenlee,4011.0,401100000.0,US Senate,statewide,2567,Republican,Martha McSally,1416,AZ Greenlee,0.5516166731593299
AZ,Greenlee,4011.0,401100000.0,US Senate,statewide,2567,Republican,Robert Kay (write-in),0,AZ Greenlee,0.0
AZ,Greenlee,4011.0,401100000.0,US Senate,statewide,2567,Democrat,Sheila Bilyeu (write-in),1,AZ Greenlee,0.00038955979742890534
AZ,La Paz,4012.0,401200000.0,US Senate,statewide,5073,Democrat,Kyrsten Sinema,1609,AZ La Paz,0.3171693278139168
AZ,La Paz,4012.0,401200000.0,US Senate,statewide,5073,Republican,Martha McSally,3265,AZ La Paz,0.6436033904987187
AZ,La Paz,4012.0,401200000.0,US Senate,statewide,5073,Republican,Robert Kay (write-in),0,AZ La Paz,0.0
AZ,La Paz,4012.0,401200000.0,US Senate,statewide,5073,Democrat,Sheila Bilyeu (write-in),0,AZ La Paz,0.0
AZ,Maricopa,4013.0,401300000.0,US Senate,statewide,1437952,Democrat,Kyrsten Sinema,732761,AZ Maricopa,0.5095865508723518
