county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
Plumas County,California,18809,90,478.5,0,0.0,0.0
Judith Basin County,Montana,2007,19,946.7,0,0.0,0.0
McCone County,Montana,1664,71,4266.8,0,0.0,0.0
Cheyenne County,Colorado,1831,16,873.8,0,0.0,0.0
Mineral County,Montana,4397,17,386.6,0,0.0,0.0
Park County,Montana,16606,313,1884.9,0,0.0,0.0
Petroleum County,Montana,487,4,821.4,0,0.0,0.0
Bent County,Colorado,5577,23,412.4,0,0.0,0.0
Baca County,Colorado,3581,39,1089.1,0,0.0,0.0
Jefferson County,Montana,12221,221,1808.4,0,0.0,0.0
Archuleta County,Colorado,14029,71,506.1,0,0.0,0.0
Sheridan County,Montana,3309,111,3354.5,0,0.0,0.0
Wibaux County,Montana,969,47,4850.4,0,0.0,0.0
Arthur County,Nebraska,463,6,1295.9,0,0.0,0.0
Banner County,Nebraska,745,5,671.1,0,0.0,0.0
Blaine County,Nebraska,465,5,1075.3,0,0.0,0.0
Boone County,Nebraska,5192,197,3794.3,0,0.0,0.0
Trinity County,California,12286,43,350.0,0,0.0,0.0
Brown County,Nebraska,2955,94,3181.0,0,0.0,0.0
Prairie County,Montana,1077,36,3342.6,0,0.0,0.0
Cedar County,Nebraska,8402,195,2320.9,0,0.0,0.0
Custer County,Colorado,5068,32,631.4,0,0.0,0.0
Golden Valley County,Montana,821,16,1948.8,0,0.0,0.0
Mineral County,Colorado,769,21,2730.8,0,0.0,0.0
Mercer County,Missouri,3617,43,1188.8,0,0.0,0.0
Oregon County,Missouri,10529,280,2659.3,0,0.0,0.0
Lincoln County,Colorado,5701,26,456.1,0,0.0,0.0
Las Animas County,Colorado,14506,96,661.8,0,0.0,0.0
Ralls County,Missouri,10309,251,2434.8,0,0.0,0.0
Lake County,Colorado,8127,160,1968.7,0,0.0,0.0
Kiowa County,Colorado,1406,6,426.7,0,0.0,0.0
Granite County,Montana,3379,83,2456.3,0,0.0,0.0
Schuyler County,Missouri,4660,79,1695.3,0,0.0,0.0
Hinsdale County,Colorado,820,4,487.8,0,0.0,0.0
Worth County,Missouri,2013,39,1937.4,0,0.0,0.0
Broadwater County,Montana,6237,107,1715.6,0,0.0,0.0
Gilpin County,Colorado,6243,41,656.7,0,0.0,0.0
Chouteau County,Montana,5635,154,2732.9,0,0.0,0.0
Fallon County,Montana,2846,108,3794.8,0,0.0,0.0
Garfield County,Montana,1258,31,2464.2,0,0.0,0.0
Dolores County,Colorado,2055,3,146.0,0,0.0,0.0
Jackson County,Colorado,1392,9,646.6,0,0.0,0.0
Iron County,Missouri,10125,133,1313.6,0,0.0,0.0
Cheyenne County,Nebraska,8910,178,1997.8,0,0.0,0.0
Siskiyou County,California,43537,292,670.7,0,0.0,0.0
Pawnee County,Nebraska,2613,37,1416.0,0,0.0,0.0
Sheridan County,Nebraska,5246,175,3335.9,0,0.0,0.0
Sioux County,Nebraska,1166,12,1029.2,0,0.0,0.0
Stanton County,Nebraska,5920,107,1807.4,0,0.0,0.0
Thayer County,Nebraska,5003,92,1838.9,0,0.0,0.0
Thomas County,Nebraska,722,22,3047.1,0,0.0,0.0
Wheeler County,Nebraska,783,5,638.6,0,0.0,0.0
Esmeralda County,Nevada,0,0,0.0,0,0.0,0.0
Nuckolls County,Nebraska,4148,126,3037.6,0,0.0,0.0
Eureka County,Nevada,2029,14,690.0,0,0.0,0.0
Storey County,Nevada,4123,25,606.4,0,0.0,0.0
Coos County,New Hampshire,31565,147,465.7,0,0.0,0.0
Alpine County,California,1129,3,265.7,0,0.0,0.0
De Baca County,New Mexico,1748,3,171.6,0,0.0,0.0
Harding County,New Mexico,625,1,160.0,0,0.0,0.0
Woodruff County,Arkansas,6320,150,2373.4,0,0.0,0.0
Los Alamos County,New Mexico,19369,62,320.1,0,0.0,0.0
Mora County,New Mexico,4521,17,376.0,0,0.0,0.0
Pershing County,Nevada,6726,25,371.7,0,0.0,0.0
Deuel County,Nebraska,1794,19,1059.1,0,0.0,0.0
Nemaha County,Nebraska,6972,215,3083.8,0,0.0,0.0
Morrill County,Nebraska,4642,167,3597.6,0,0.0,0.0
Sierra County,California,3005,6,199.7,0,0.0,0.0
Garden County,Nebraska,1837,52,2830.7,0,0.0,0.0
Garfield County,Nebraska,1969,53,2691.7,0,0.0,0.0
Gosper County,Nebraska,1990,77,3869.3,0,0.0,0.0
Grant County,Nebraska,623,6,963.1,0,0.0,0.0
Greeley County,Nebraska,2356,57,2419.4,0,0.0,0.0
Harlan County,Nebraska,3380,74,2189.3,0,0.0,0.0
Hayes County,Nebraska,922,29,3145.3,0,0.0,0.0
Modoc County,California,8841,73,825.7,0,0.0,0.0
Jefferson County,Nebraska,7046,135,1916.0,0,0.0,0.0
Kearney County,Nebraska,6495,297,4572.7,0,0.0,0.0
Keith County,Nebraska,8034,139,1730.1,0,0.0,0.0
Keya Paha County,Nebraska,806,10,1240.7,0,0.0,0.0
Kimball County,Nebraska,3632,86,2367.8,0,0.0,0.0
Kalawao County,Hawaii,0,0,0.0,0,0.0,0.0
Logan County,Nebraska,748,15,2005.3,0,0.0,0.0
Loup County,Nebraska,664,13,1957.8,0,0.0,0.0
McPherson County,Nebraska,494,11,2226.7,0,0.0,0.0
Johnson County,Nebraska,5071,143,2820.0,0,0.0,0.0
Chariton County,Missouri,7426,113,1521.7,0,0.0,0.0
Phillips County,Colorado,4265,84,1969.5,0,0.0,0.0
Adair County,Missouri,25343,663,2616.1,0,0.0,0.0
Anderson County,Kansas,7858,263,3346.9,0,0.0,0.0
Barber County,Kansas,4427,104,2349.2,0,0.0,0.0
Chautauqua County,Kansas,3250,33,1015.4,0,0.0,0.0
Comanche County,Kansas,1700,23,1352.9,0,0.0,0.0
Doniphan County,Kansas,7600,245,3223.7,0,0.0,0.0
Edwards County,Kansas,2798,90,3216.6,0,0.0,0.0
Elk County,Kansas,2530,20,790.5,0,0.0,0.0
Greeley County,Kansas,1232,52,4220.8,0,0.0,0.0
Worth County,Iowa,7381,192,2601.3,0,0.0,0.0
Greenwood County,Kansas,5982,142,2373.8,0,0.0,0.0
Hodgeman County,Kansas,1794,85,4738.0,0,0.0,0.0
Kiowa County,Kansas,2475,79,3191.9,0,0.0,0.0
Logan County,Kansas,2794,153,5476.0,0,0.0,0.0
Marshall County,Kansas,9707,160,1648.3,0,0.0,0.0
Mitchell County,Kansas,5979,83,1388.2,0,0.0,0.0
Morris County,Kansas,5620,99,1761.6,0,0.0,0.0
Neosho County,Kansas,16007,356,2224.0,0,0.0,0.0
Osborne County,Kansas,3421,45,1315.4,0,0.0,0.0
Hamilton County,Kansas,2539,73,2875.1,0,0.0,0.0
Ottawa County,Kansas,5704,135,2366.8,0,0.0,0.0
Page County,Iowa,15107,581,3845.9,0,0.0,0.0
Greene County,Iowa,8888,247,2779.0,0,0.0,0.0
Kauai County,Hawaii,72327,69,95.4,0,0.0,0.0
Butte County,Idaho,2597,110,4235.7,0,0.0,0.0
Camas County,Idaho,1106,50,4520.8,0,0.0,0.0
Clark County,Idaho,845,41,4852.1,0,0.0,0.0
Clearwater County,Idaho,8756,188,2147.1,0,0.0,0.0
Oneida County,Idaho,4531,76,1677.3,0,0.0,0.0
Brown County,Illinois,6578,161,2447.6,0,0.0,0.0
Calhoun County,Illinois,4739,114,2405.6,0,0.0,0.0
Osceola County,Iowa,5958,337,5656.3,0,0.0,0.0
Edwards County,Illinois,6395,129,2017.2,0,0.0,0.0
Henderson County,Illinois,6646,162,2437.6,0,0.0,0.0
Johnson County,Illinois,12417,454,3656.3,0,0.0,0.0
Putnam County,Illinois,5739,124,2160.7,0,0.0,0.0
Scott County,Illinois,4951,126,2544.9,0,0.0,0.0
Martin County,Indiana,10255,237,2311.1,0,0.0,0.0
Switzerland County,Indiana,10751,136,1265.0,0,0.0,0.0
Union County,Indiana,7054,185,2622.6,0,0.0,0.0
Decatur County,Iowa,7870,207,2630.2,0,0.0,0.0
Hardin County,Illinois,3821,66,1727.3,0,0.0,0.0
Pottawatomie County,Kansas,24382,455,1866.1,0,0.0,0.0
Pratt County,Kansas,9164,285,3110.0,0,0.0,0.0
Rawlins County,Kansas,2530,138,5454.5,0,0.0,0.0
Sagadahoc County,Maine,35861,96,267.7,0,0.0,0.0
Washington County,Maine,31382,104,331.4,0,0.0,0.0
Dukes County,Massachusetts,17333,114,657.7,0,0.0,0.0
Antrim County,Michigan,23325,181,776.0,0,0.0,0.0
Chippewa County,Michigan,37347,281,752.4,0,0.0,0.0
Mackinac County,Michigan,10799,186,1722.4,0,0.0,0.0
Montmorency County,Michigan,9328,48,514.6,0,0.0,0.0
Cook County,Minnesota,5463,32,585.8,0,0.0,0.0
Piscataquis County,Maine,16782,17,101.3,0,0.0,0.0
Cottonwood County,Minnesota,11196,344,3072.5,0,0.0,0.0
Faribault County,Minnesota,13653,295,2160.7,0,0.0,0.0
Fillmore County,Minnesota,21067,331,1571.2,0,0.0,0.0
Lake County,Minnesota,10641,168,1578.8,0,0.0,0.0
Pope County,Minnesota,11249,222,1973.5,0,0.0,0.0
San Miguel County,Colorado,8179,114,1393.8,0,0.0,0.0
San Juan County,Colorado,728,12,1648.4,0,0.0,0.0
Traverse County,Minnesota,3259,71,2178.6,0,0.0,0.0
Rio Blanco County,Colorado,6324,33,521.8,0,0.0,0.0
Dodge County,Minnesota,20934,484,2312.0,0,0.0,0.0
Woodford County,Kentucky,26734,461,1724.4,0,0.0,0.0
Wolfe County,Kentucky,7157,96,1341.3,0,0.0,0.0
Trimble County,Kentucky,8471,114,1345.8,0,0.0,0.0
Rush County,Kansas,3036,118,3886.7,0,0.0,0.0
Sheridan County,Kansas,2521,232,9202.7,0,0.0,0.0
Smith County,Kansas,3583,53,1479.2,0,0.0,0.0
Wallace County,Kansas,1518,97,6390.0,0,0.0,0.0
Washington County,Kansas,5406,89,1646.3,0,0.0,0.0
Wichita County,Kansas,2119,74,3492.2,0,0.0,0.0
Woodson County,Kansas,3138,42,1338.4,0,0.0,0.0
Boyle County,Kentucky,30059,531,1766.5,0,0.0,0.0
Caldwell County,Kentucky,12747,359,2816.3,0,0.0,0.0
Cumberland County,Kentucky,6614,160,2419.1,0,0.0,0.0
Elliott County,Kentucky,7517,362,4815.8,0,0.0,0.0
Estill County,Kentucky,14106,326,2311.1,0,0.0,0.0
Fleming County,Kentucky,14581,221,1515.7,0,0.0,0.0
Lawrence County,Kentucky,15317,188,1227.4,0,0.0,0.0
Magoffin County,Kentucky,12161,244,2006.4,0,0.0,0.0
Morgan County,Kentucky,13309,169,1269.8,0,0.0,0.0
Pendleton County,Kentucky,14590,154,1055.5,0,0.0,0.0
Powell County,Kentucky,12359,197,1594.0,0,0.0,0.0
