year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version,percentage
2012,Alabama,AL,Autauga,1001.0,President,Barack Obama,democrat,6363.0,23932,20191203,0.2658783219120842
2012,Alabama,AL,Autauga,1001.0,President,Mitt Romney,republican,17379.0,23932,20191203,0.7261825171318737
2012,Alabama,AL,Baldwin,1003.0,President,Barack Obama,democrat,18424.0,85338,20191203,0.21589444327263352
2012,Alabama,AL,Baldwin,1003.0,President,Mitt Romney,republican,66016.0,85338,20191203,0.7735826946963837
2012,Alabama,AL,Barbour,1005.0,President,Barack Obama,democrat,5912.0,11509,20191203,0.5136849422191329
2012,Alabama,AL,Barbour,1005.0,President,Mitt Romney,republican,5550.0,11509,20191203,0.48223129724563385
2012,Alabama,AL,Bibb,1007.0,President,Barack Obama,democrat,2202.0,8420,20191203,0.261520190023753
2012,Alabama,AL,Bibb,1007.0,President,Mitt Romney,republican,6132.0,8420,20191203,0.7282660332541567
2012,Alabama,AL,Blount,1009.0,President,Barack Obama,democrat,2970.0,24006,20191203,0.12371907023244189
2012,Alabama,AL,Blount,1009.0,President,Mitt Romney,republican,20757.0,24006,20191203,0.8646588352911772
2012,Alabama,AL,Bullock,1011.0,President,Barack Obama,democrat,4061.0,5322,20191203,0.7630590003757985
2012,Alabama,AL,Bullock,1011.0,President,Mitt Romney,republican,1251.0,5322,20191203,0.2350620067643743
2012,Alabama,AL,Butler,1013.0,President,Barack Obama,democrat,4374.0,9496,20191203,0.4606149957877001
2012,Alabama,AL,Butler,1013.0,President,Mitt Romney,republican,5087.0,9496,20191203,0.5356992417860151
2012,Alabama,AL,Calhoun,1015.0,President,Barack Obama,democrat,15511.0,46257,20191203,0.33532222150161056
2012,Alabama,AL,Calhoun,1015.0,President,Mitt Romney,republican,30278.0,46257,20191203,0.6545603908597618
2012,Alabama,AL,Chambers,1017.0,President,Barack Obama,democrat,6871.0,14611,20191203,0.4702621312709602
2012,Alabama,AL,Chambers,1017.0,President,Mitt Romney,republican,7626.0,14611,20191203,0.5219355280268291
2012,Alabama,AL,Cherokee,1019.0,President,Barack Obama,democrat,2132.0,9779,20191203,0.21801820227017077
2012,Alabama,AL,Cherokee,1019.0,President,Mitt Romney,republican,7506.0,9779,20191203,0.7675631455159014
2012,Alabama,AL,Chilton,1021.0,President,Barack Obama,democrat,3397.0,17462,20191203,0.19453670828083838
2012,Alabama,AL,Chilton,1021.0,President,Mitt Romney,republican,13932.0,17462,20191203,0.7978467529492612
2012,Alabama,AL,Choctaw,1023.0,President,Barack Obama,democrat,3786.0,7968,20191203,0.4751506024096386
