fips,state,elect_votes
01,Alabama,9
02,Alaska,3
04,Arizona,11
05,Arkansas,6
06,California,55
08,Colorado,9
09,Connecticut,7
10,Delaware,3
11,District of Columbia,3
12,Florida,29
13,Georgia,16
15,Hawaii,4
16,Idaho,4
17,Illinois,20
18,Indiana,11
19,Iowa,6
20,Kansas,6
21,Kentucky,8
22,Louisiana,8
23,Maine,2
24,Maryland,10
25,Massachusetts,11
26,Michigan,16
27,Minnesota,10
28,Mississippi,6
28,Mississippi,6
29,Missouri,10
30,Montana,3
31,Nebraska,2
32,Nevada,6
33,New Hampshire,4
34,New Jersey,14
35,New Mexico,5
36,New York,29
37,North Carolina,15
38,North Dakota,3
39,Ohio,18
40,Oklahoma,7
41,Oregon,7
42,Pennsylvania,20
44,Rhode Island,4
45,South Carolina,9
46,South Dakota,3
47,Tennessee,11
48,Texas,38
49,Utah,6
50,Vermont,3
51,Virginia,13
53,Washington,12
54,West Virginia,5
55,Wisconsin,10
56,Wyoming,3
56,Wyoming,3
