"state","dem_poll_mean","dem_poll_median","dem_poll_sd","rep_poll_mean","rep_poll_median","rep_poll_sd"
"Alabama",38.9804615384615,39,2.14516711963284,57.996,58,2.76035369110554
"Alaska",43.5520967741936,44,3.33548587514145,52.0008064516129,53,2.75612718209667
"Arizona",47.9040265486726,48.555,4.10704740434223,45.4922566371681,46,2.31525678836428
"Arkansas",39.1250980392157,40,2.6550490560809,58.6272549019608,58,3.06270082014641
"California",58.1167878787879,59,4.80264967363403,33.0558787878788,34.18,3.89471060759658
"Colorado",55.1047058823529,56,4.08530863444311,40.7529411764706,41,2.18852136619868
"Connecticut",59.1630769230769,62,5.53611464698984,34.9215384615385,35,1.95110323821008
"Delaware",61.7996363636364,63,4.49740211580483,35.7972727272727,35,3.6753384598718
"District of Columbia",87.9733333333333,88,2.51857383937759,9.69145833333333,10,2.21119394877021
"Florida",48.25944,49,2.43415796248834,46.28044,47,2.97261696369569
"Georgia",47.6671153846154,47.75,3.17808869516608,46.9085256410256,46.7,2.25156914588319
"Hawaii",63.9,64,2.11293296492949,33.1598,33,1.98245105969394
"Idaho",39.1173469387755,40,1.67608643312107,58.6277551020408,58,1.6750264491769
"Illinois",58.3247169811321,58,1.7439098465733,38.7232075471698,39,1.64084145109582
"Indiana",43.4019298245614,44,1.71080436240268,53.5187719298246,54,1.51597925703798
"Iowa",46.6681751824818,47,3.05397022669771,48.6791240875912,49,2.45600329159238
"Kansas",44.7288059701493,45,2.85635311159976,51.8770149253731,52,1.90856602915714
"Kentucky",39.4907352941176,40,3.04635447226288,57.1839705882353,57,2.22959948194027
"Louisiana",40.1824074074074,40,2.60242915201641,56.5585185185185,57.5,3.09352909992834
"Maine",54.2443529411765,56,3.03361777070077,41.8009411764706,42,2.47080121164188
"Maine CD-1",57.172,57,3.32929042542733,35.1745,35,3.36273302851306
"Maine CD-2",46.49,46.89,3.41705695897355,45.8595833333333,45.745,2.92670980003539
"Maryland",64.7487301587302,66,3.48025281435382,31.5693650793651,31.1,1.5101793025524
"Massachusetts",67.9249152542373,69,3.08267034536805,28.9615254237288,29,2.00300361832727
"Michigan",49.299020979021,50,3.72083405377056,43.0890559440559,43.15,2.72142664153938
"Minnesota",52.8481443298969,54,2.98550398100866,42.269587628866,42,2.02734787629356
"Mississippi",40.7078571428571,41,3.16498899282056,56.8125,56,3.74883897178362
"Missouri",43.8481578947368,45,2.75185402254616,52.1013157894737,52,1.53166518717833
"Montana",43.5541772151899,45,3.77351383807465,52.6287341772152,52,2.57053340124066
"Nebraska",45.0391666666667,46,1.70964701263197,52.873125,52,1.85464357561047
"Nebraska CD-1",46,46,0,48,48,0
"Nebraska CD-2",50.7333333333333,51,1.3856406460551,44.0111111111111,44,2.41166148352357
"Nevada",49.3021505376344,50,3.08927909469478,45.8029032258065,46.36,3.42821368767454
"New Hampshire",52.2477586206897,53,4.51634771376874,43.6740517241379,43,2.73619951549694
"New Jersey",57.7193506493507,60,4.1714396535635,36.0554545454545,36,1.69895443501255
"New Mexico",53.3093103448276,53,1.67700951683055,44.4939655172414,45,2.23704295706912
"New York",62.3484615384615,64,3.70470487639081,33.2855384615385,33,1.69325318430347
"North Carolina",47.7429197080292,48,4.07034646950453,45.9049270072993,46,2.26231044055653
"North Dakota",37.425303030303,38.5,3.1539017201882,59.3540909090909,59,2.8298349923478
"Ohio",47.1905384615385,47,2.2685224886377,48.2740769230769,49,2.59022482522266
"Oklahoma",38.2122033898305,40,3.00992041812347,59.1766101694915,58.28,2.57875244507848
"Oregon",59.7262745098039,60,1.5624467488965,38.3835294117647,38,0.674533389920504
"Pennsylvania",49.2124295774648,50,3.41446291147257,44.6641901408451,45,2.17794803558246
"Rhode Island",65.2175,67,3.4449429479882,33.291875,32,3.32765693317289
"South Carolina",43.5529166666667,44.75,3.72367388381185,51.6840625,52,2.00536363843778
"South Dakota",41.3392,43,3.12120649095565,56.3678,55,3.25013424526509
"Tennessee",41.5669642857143,42,2.3309934828058,55.8003571428571,56,2.02714395083393
"Texas",44.3556066945607,46,4.38206020339446,47.1268619246862,48,3.67857706005154
"Utah",40.3921052631579,43,5.7967002833887,51.1401315789474,52,4.85016246969688
"Vermont",66.8254,67,3.03423742899434,30.6598,32,2.92447901517588
"Virginia",52.1245871559633,53,4.46842762387772,42.0329357798165,42,2.81992589302164
"Washington",59.4367164179104,61,3.83918646214143,36.0728358208955,37,1.93965539423744
"West Virginia",32.9869811320755,33,2.07586922007816,65.0535849056604,66,2.91021152703295
"Wisconsin",48.9200233100233,49,3.72396504463468,43.8550815850816,44,2.45402802681885
"Wyoming",31.6408163265306,32,3.0745283084935,66.5475510204082,66,3.41195907227569
